bigfsm:
  0:[0]-161,-418,-418,-3106,-300,-300,6,6,-4002,9,[10]9,11,12,12,-43,-3490,-3618,-3362,0,-4130,[20]-5282,-4514,-4386,-1826,-4258,-1698,-4642,-3234,-5026,-3874,[30]-162,0,
  1:[0]-161,-418,-418,-3106,-300,-300,6,6,-4002,9,[10]9,11,12,12,-43,-3490,-3618,-3362,0,-4130,[20]-5282,-4514,-4386,-1826,-4258,-1698,-4642,-3234,-5026,-3874,[30]-162,0,
  2:[0]-161,-418,-418,-3106,-300,-300,6,6,-4002,9,[10]9,11,12,12,-43,-3490,-3618,-3362,0,-4130,[20]-5282,-4514,-4386,-1826,-4258,-1698,-4642,-3234,-5026,-3874,[30]-162,0,
  3:[0]-161,-418,-418,-3106,-300,-300,6,6,-4002,9,[10]9,11,12,12,-43,-3490,-3618,-3362,0,-4130,[20]-5282,-4514,-4386,-1826,-4258,-1698,-4642,-3234,-5026,-3874,[30]-162,0,
  4:[0]-161,-418,-418,-3106,-300,-300,6,6,-4002,9,[10]9,11,12,12,-43,-3490,-3618,-3362,0,-4130,[20]-5282,-4514,-4386,-1826,-4258,-1698,-4642,-3234,-5026,-3874,[30]-162,0,
  5:[0]-161,-418,-418,-3106,-300,-300,6,6,-4002,9,[10]9,11,12,12,-43,-3490,-3618,-3362,0,-4130,[20]-5282,-4514,-4386,-1826,-4258,-1698,-4642,-3234,-5026,-3874,[30]-162,0,
  6:[0]-161,-418,-418,-3106,-300,-300,6,6,-4002,9,[10]9,11,12,12,-43,-3490,-3618,-3362,0,-4130,[20]-5282,-4514,-4386,-1826,-4258,-1698,-4642,-3234,-5026,-3874,[30]-162,0,
  7:[0]-161,-418,-418,-3106,-300,-300,6,6,-4002,9,[10]9,11,12,12,-43,-3490,-3618,-3362,0,-4130,[20]-5282,-4514,-4386,-1826,-4258,-1698,-4642,-3234,-5026,-3874,[30]-162,0,
  8:[0]-161,-418,-418,-3106,-300,-300,6,6,-4002,9,[10]9,11,12,12,-43,-3490,-3618,-3362,0,-4130,[20]-5282,-4514,-4386,-1826,-4258,-1698,-4642,-3234,-5026,-3874,[30]-162,0,
  9:[0]14,-418,-418,-3106,-300,-300,6,6,-4002,9,[10]9,11,12,12,14,-3490,-3618,-3362,0,-4130,[20]-5282,-4514,-4386,-1826,-4258,-1698,-4642,-3234,-5026,-3874,[30]-162,0,
 10:[0]-36,-418,-418,-3106,-300,-300,-38,-38,-4002,-39,[10]-39,-36,-38,-38,-43,-3490,-3618,-3362,0,-4130,[20]-5282,-4514,-4386,-1826,-4258,-1698,-4642,-3234,-5026,-3874,[30]-162,0,
 11:[0]14,-418,-418,-3106,-300,-300,6,6,-4002,9,[10]9,11,12,12,14,-3490,-3618,-3362,0,-4130,[20]-5282,-4514,-4386,-1826,-4258,-1698,-4642,-3234,-5026,-3874,[30]-162,0,
 12:[0]-161,-418,-418,-3106,-300,-300,6,6,-4002,9,[10]9,11,12,12,-43,-3490,-3618,-3362,0,-4130,[20]-5282,-4514,-4386,-1826,-4258,-1698,-4642,-3234,-5026,-3874,[30]-162,0,
 13:[0]-161,-418,-418,-3106,-300,-300,6,6,-4002,9,[10]9,11,12,12,-43,-3490,-3618,-3362,0,-4130,[20]-5282,-4514,-4386,-1826,-4258,-1698,-4642,-3234,-5026,-3874,[30]-162,0,
